user_id,name,email,city,birthdate
fe3cf064-6121-456a-a4db-a6ffccf7cc76,El Mehdi Sbai,sbai.el.mehdi@inbox.com,Mohammedia,322099200000
5a93500d-f38b-4c99-bc49-6fbb59bb27b1,Mouad Berkani,berkani.mouad@gmail.com,Casablanca,1150588800000
d9dd9953-ff31-4fa8-9630-6e057590dec5,Rajae Essafi,essafi.rajae@gmail.com,Al Hoceima,439516800000
f6ed54ba-92ab-403d-ae5b-5421a65dd091,Amal Bouazza,bouazza.amal@tutanota.com,Chefchaouen,-658368000000
6ba514cd-dd91-4d96-97f0-95b9955b1ace,Mustapha Bouazza,bouazza.mustapha@fastmail.com,Tangier,-599529600000
e6a3c15f-4a71-41d4-b1ec-fb9700bf6214,Aya Ziani,ziani.aya@me.com,Laayoune,1102982400000
9d64dbdf-d981-4fd3-92c1-f9c92fbd975e,Amal Bennani,bennani.amal@outlook.com,Salé,557625600000
6bc8c62f-1912-4af2-9132-179d11db4e1e,Wafae Rachidi,rachidi.wafae@pm.me,Casablanca,91152000000
c5a80e9c-6114-4e7e-8b1c-956741d12f6d,Farah Ziani,ziani.farah@mail.com,Sefrou,1009497600000
563cacf5-3cd6-4f76-a39f-bd72b74e53c0,Hamza Faris,faris.hamza@att.net,Ouazzane,-351561600000
6178c7d8-3914-47fd-abb0-789a21f9642d,Said Fassi,fassi.said@zoho.com,Dakhla,-406684800000
b9c53c89-be14-472f-be53-b7068e62907c,Noureddine Chami,chami.noureddine@att.net,Laayoune,405734400000
37b288c4-051a-4e69-b8f4-b24d4a37131e,Brahim Fassi,fassi.brahim@comcast.net,Nador,-607219200000
49d3eb84-bbc6-4dd5-9f8e-b6b103ec90b3,Souad Laamiri,laamiri.souad@comcast.net,Tetouan,1014249600000
52cf60f8-ec5a-4219-92e6-73607dc4bba1,Ali Berkani,berkani.ali@comcast.net,Casablanca,678499200000
00c35e79-765f-48db-bb43-ab520c934900,Loubna Lamrabet,lamrabet.loubna@me.com,Berkane,-59097600000
3c4392b0-a3b3-47e4-a880-217a71c4f009,Ahmed Sekkat,sekkat.ahmed@aol.com,Tetouan,433382400000
db8bdfd4-00c7-4043-a69e-e12a627a61d9,Sara Bourkadi,bourkadi.sara@att.net,Boujdour,-68169600000
23f00633-4446-4120-9fd8-2cdab59d9c6a,Anas Bousfiha,bousfiha.anas@mail.com,Mohammedia,-549849600000
0a39b3c8-c9dc-4724-afec-4f79a6e38df6,Nisrine Faris,faris.nisrine@me.com,Meknes,-487641600000
8783d534-b180-472a-a884-741c39f1f017,Amina Maazouzi,maazouzi.amina@gmx.com,Chefchaouen,-581904000000
794c6f75-db6c-4ca6-9d83-5b127b662f37,Leila El Mokhtar,el.mokhtar.leila@live.com,Larache,-607996800000
7d444427-f51a-4146-b132-633c8b6d8b81,Khalil Ghallab,ghallab.khalil@hotmail.co.uk,Boujdour,688608000000
70cef2ad-209d-463e-982a-9ee70e4727f9,El Mehdi Haddadi,haddadi.el.mehdi@outlook.com,Chefchaouen,-114393600000
a6da22ec-cea9-4bd7-abe5-d80347568380,Mohamed Haddadi,haddadi.mohamed@gmail.com,Azrou,-539395200000
74ba89be-c128-460a-82d6-9d0f39307af6,Mariam Essafi,essafi.mariam@gmx.com,Kenitra,-84153600000
e5cd0adf-a1a1-4ae7-9b5b-9bbc038fe91b,Fatima Ziani,ziani.fatima@comcast.net,Marrakech,-696038400000
24f41b05-091b-46d6-9bce-a060d4dbcd4c,Safae Chami,chami.safae@inbox.com,Chefchaouen,-27648000000
8fe976cf-2029-4fdf-9d3b-99d63da255b3,Imane Chaouki,chaouki.imane@hotmail.com,Chefchaouen,831772800000
791f06ea-93a4-4af9-8d6d-535cdbf89c8a,Ghita Maazouzi,maazouzi.ghita@mac.com,Tangier,-342835200000
a205e4ff-ce5a-48b0-8d6a-8cafcbd9f52d,Reda Sadik,sadik.reda@qq.com,Tangier,155692800000
546bf368-b25a-4b71-933a-151cad1bc0f1,Salma Outaleb,outaleb.salma@mac.com,El Jadida,1122163200000
4123ce63-2725-44ca-8509-74b249478508,Souad Hadda,hadda.souad@hotmail.com,Guelmim,-150940800000
eb207ac4-7354-4456-9646-5ecbb53375a5,Siham Faris,faris.siham@btinternet.com,Meknes,-105926400000
5d14e1dc-f8a2-4738-8fd3-488c0d17c0b6,Abdelilah Mazouz,mazouz.abdelilah@yahoo.com,Safi,135475200000
a2c06fb6-c86b-445c-8617-80ec66b67b39,Hamza Boujemaa,boujemaa.hamza@hotmail.co.uk,El Jadida,-69552000000
4c101d05-13fb-4d62-90b3-e9fe07c4b536,Omar Kouhen,kouhen.omar@gmail.com,El Jadida,-583545600000
a788baed-3895-4cc5-9b2d-cda53b299908,Amal Bennani,bennani.amal@zoho.com,Laayoune,1136419200000
074a78f5-8fa9-4286-b11d-5653dda790ff,Zakaria El Mokhtar,el.mokhtar.zakaria@gmail.com,Fes,-222480000000
dac0f648-af2f-47c8-9d27-addf81b8e568,Ayoub Maazouzi,maazouzi.ayoub@hotmail.com,Kenitra,71539200000
557b7d7a-25a5-4fda-bce4-fec2ed6cdb9a,Ghita El Mernissi,el.mernissi.ghita@tutanota.com,Taroudant,952387200000
644924ac-ca32-43f1-a5a9-f49820804d6d,Aziz Kharbouch,kharbouch.aziz@live.com,El Jadida,489628800000
4783d1c5-adb6-476e-a46d-c0cb7541ad13,Nisrine Rachidi,rachidi.nisrine@qq.com,Guelmim,-465004800000
83fbf180-fece-4179-959e-c9013baf753e,Jamal Faris,faris.jamal@pm.me,Ouarzazate,1155340800000
88a569b4-dbd2-4deb-98a0-37f97d576cc9,Salim El Khouli,el.khouli.salim@tutanota.com,Sidi Kacem,41558400000
c3b7d9ac-e6d2-4274-8726-d86612d358a3,Said Zerouali,zerouali.said@yahoo.co.uk,Guelmim,135648000000
d4e3f114-cb8c-4411-87f9-73615b0d04fe,Samira El Khouli,el.khouli.samira@yandex.com,Sefrou,-663120000000
813b2853-dbb5-4755-bea8-6811505e8ee0,Amal Outaleb,outaleb.amal@fastmail.com,Kenitra,255744000000
85012c3b-554f-4e52-aa21-390c40fe1642,Imane Belhaj,belhaj.imane@att.net,Kenitra,-757814400000
d2bb0183-a65f-4738-a5f0-0856af28f1e2,Zakaria Boujemaa,boujemaa.zakaria@yandex.com,Larache,-698803200000
213a02d8-92fe-4c0f-bdd2-18b4f50d3e76,Ilyas Kharbouch,kharbouch.ilyas@mail.com,Mohammedia,-428284800000
0012bd65-d00e-4a19-918c-f87d5213638c,Malika Boujemaa,boujemaa.malika@aol.com,Chefchaouen,133228800000
94af55b0-f503-49a2-a58a-97297a6faf87,Soufiane El Amrani,el.amrani.soufiane@verizon.net,Al Hoceima,315705600000
